matched_term,file_name,match_line_number,know_option,think_option,verb,force,comp,subj,unique_id,child,interaction,context_pre_1,context_pre_2,context_pre_3,context_pre_4,context_pre_5,context_pre_6,context_pre_7,context_pre_8,context_pre_9,context_pre_10,matched_line,context_post_1,context_post_2,Sample_Set
I know what happens .,guy_mothertoy.cha,2323,know,think,know,declarative,interrogative,1,3.0154,guy,mother,*MOT:	 you didn't lose your kitty.,*CHI:	sit.,*MOT:	sit kitty?,*CHI:	uhhuh.,*MOT:	&mm.,*MOT:	why?,*MOT:	is the kitty running too fast or something?,*CHI:	uhhuh.,*MOT:	&mm.,*MOT:	oh.,*MOT:	I know what happens.,*MOT:	the policeman says to the cat .,*MOT:	 come here cat.,8138
"you know where to [//] where things go , right ?",andy_mothertoy.cha,1045,know,think,know,declarative,interrogative,2,3.001,andy,mother,*MOT:	okay. ,*CHI:	xxx back. ,*CHI:	I'll watch you. ,*MOT:	you'll watch me? ,*MOT:	you're not gonna help me? ,*MOT:	I'm not sure I could do it either. ,*CHI:	someone help us. ,"*MOT:	[laughs the blue screws go in front, right]? ",*MOT:	&th these are the headlights. ,*MOT:	you come help me. ,"*MOT:	you know where to  where things go, right? ",*MOT:	the people? ,*CHI:	the people belong inside it. ,8138
we know where the people go .,andy_fathertoy.cha,1418,know,think,know,declarative,interrogative,1,3.017,andy,father,*FAT:	where do the red and the black screw go? ,*CHI:	and where does dis  go? ,*CHI:	and these two blue screws? ,*FAT:	I dunno . ,*FAT:	and what was holding the wheel? ,*FAT:	we didn't remember. ,*FAT:	we should have .. maybe even written some things down. ,"*FAT:	like what belongs where, &hmm? ",*CHI:	but we knew where dese  people go . ,*FAT:	yup  that we know. ,*FAT:	we know where the people go. ,*CHI:	I know where dese:  go. ,*FAT:	I wonder what holds in the spare tire? ,8138
"oh I know what you're gonna buy , too .",eddie_mothertoy.cha,1803,know,think,know,declarative,interrogative,1,3.007,eddie,mother,*CHI:	I don't want to.,*MOT:	okay do you wanna buy something from me?,*CHI:	no.,*MOT:	huh?,*CHI:	what?,*MOT:	would you like to buy something from me?,"*MOT:	I'll be a store lady, okay?",*CHI:	nah.,*MOT:	and  you come over and buy something.,*CHI:	no I wanna be .,"*MOT:	oh I know what you're gonna buy, too.",*CHI:	no I wanna be .,*MOT:	you wanna be the storeman?,8138
<I know what> [<] that is .,ursula_fathertoy.cha,3671,know,think,know,declarative,interrogative,1,3.01,ursula,father,*INV:	I brought you a present for today's visit.,"*CHI:	look, Daddy.","*FAT:	what's that, Urs?",*CHI:	I don't know.,*CHI:	I can't open it.,*CHI:	it's too tight to xxx.,*INV:	it is pretty tight.,*INV:	that's just for today's visit.,*FAT: [gasp].,*INV:	we have another present for her second visit .,*FAT:	I know what  that is.,*CHI:	what is it?,*FAT:	that's bubbles.,8138
&uh o:h now I know why they call it a Take_apart car [=! laughs] !,wanda_mothertoy.cha,481,know,think,know,declarative,interrogative,1,3.002,wanda,mother,*MOT:	you want to make it looser if you want to take it apart.,*CHI:	oh [coughs].,*CHI:	I wonder if the door's locked.,"*MOT:	oh, no.",*MOT:	it's not locked.,*MOT:	it's just closed so_that people walking up and down the hall won't,*CHI:	oh.,*MOT:	that's one more.,"*MOT:	okay ., who's going to take the tire off, me or you?",*MOT:	you.,*MOT:	&uh oh now I know why they call it a Take_apart car [laughs]!,*MOT:	that's one whole side of the car taken apart.,"*MOT:	here, we've got one more side of the car to take apart.",8138
"I know what goes back here , Lisa .",wanda_mothertoy.cha,1000,know,think,know,declarative,interrogative,1,3.016,wanda,mother,*CHI:	Lisa.,"*MOT:	Debbie and Lisa, the two mechanics?",*CHI:	yeah.,"*MOT:	okay, Debbie   Debbie what do think we.",*CHI:	Debra .,*MOT:	should do?,*CHI:	&uh.,*MOT:	to fix this car?,*CHI:	I don't know.,"*MOT:	&um, let's see if I can remember what goes back here.","*MOT:	I know what goes back here, Lisa.",*MOT:	Debbie.,*MOT:	who are you?,8138
I know what we could do .,david_dinner.cha,1401,know,think,know,declarative,interrogative,1,3.008,david,dinner,*FAT:	I'm afraid we are  I think with your cream cheese and . &uh,"*FAT:	what're we gonna do when we wanna have a garlic bagel, David, or",*CHI:	we can &um.,*CHI:	you know what you can do?,*MOT:	what?,*SIS:	cream cheese and bagel on a . on a . &c  on a pretzel.,*MOT:	on a pretzel.,"*MOT:	oh, dear.","*MOT:	it's just not the same, though.",*CHI:	is that xxx.,*MOT:	I know what we could do., ,*CHI:	yeah !,8138
I know where they go .,frank_fathertoy.cha,659,know,think,know,declarative,interrogative,1,3.004,frank,father,*CHI:	this go in here?,*FAT:	I don't think so.,*FAT:	xxx something else goes in there first.,*FAT:	wait a minute.,*CHI:	what?,*FAT:	doesn't something go in there?,*FAT:	what about these.,*FAT:	where do they go?,*FAT:	&uh oh.,*FAT:	oh.,*FAT:	I know where they go.,*FAT:	you know where they go?,*FAT:	where?,8138
do you know when we parked the car just now I haved to put a quarter in the parking+meter ?,nanette_mothertoy.cha,814,know,think,know,interrogative,declarative,2,4.003,nanette,mother,*MOT:	what's that?,*CHI:	a quarter.,*MOT:	a quarter.,*MOT:	right.,*MOT:	do you remember what this one is?,"*MOT:	wait, this is a quarter you press this for a quarter it's a two",*MOT:	do you know what this one is?,*CHI:	a penny.,"*MOT:	&mm, here's a penny.",*MOT:	there's lots_of money here and we can buy lots_of food with the,*MOT:	do you know when we parked the car just now I haved to put a quarter in the parkingmeter?,*MOT:	cause it costs money to park your car on the street.,*CHI:	that's a bunny rabbit.,8138
did you know cars come apart like this ?,laurel_mothertoy.cha,336,know,think,know,interrogative,declarative,2,4.02,laurel,mother,*MOT:	I haved to put your light switch back on.,*CHI:	xxx.,*MOT:	did you have a flat tire?,*MOT:	you're gonna put a new tire on?,*CHI:	mhm.,*MOT:	does this tire need to be taken off too?,*MOT:	do you know how to do that?,*CHI:	xxx.,*MOT:	do you like this car?,*CHI:	yeah.,*MOT:	did you know cars come apart like this?,*CHI:	xxx.,*CHI:	this xxx.,8138
did you know there was water on the other side ?,laurel_fathertoy.cha,628,know,think,know,interrogative,declarative,2,4.018,laurel,father,*FAT:	are they gonna get wet?,*CHI:	yeah.,*FAT:	do you think they'd better put their &sw .,*FAT:	look [gasp].,*FAT:	you're right.,*FAT:	look.,*FAT:	it's a hole that's gonna go into the water.,*FAT:	did you read this book before?,*FAT:	have you seen this book before?,*CHI:	no.,*FAT:	did you know there was water on the other side?,*FAT:	look.,*CHI:	hey .,8138
did his mother know he was here ?,frank_dinner.cha,341,know,think,know,interrogative,declarative,3,4.002,frank,dinner,*FAT:	you know why  you didn't go to the pool?,*CHI:	why?,*FAT:	it was raining.,*CHI:	oh.,*CHI:	I already picked my salad.,*MOT:	oh.,*MOT:	you did pick your salad?,*MOT:	that's healthy.,*MOT:	now tell Daddy about how you played with Michael today.,*MOT:	on the way home from school we met him playing alone and so he came,*FAT:	did his mother know he was here?,*MOT:	well he called her.,*FAT:	he knows his phone number?,8138
you know that we're going to go ?,theresa_dinner.cha,1060,know,think,know,interrogative,declarative,2,4.006,theresa,dinner,*CHI:	and then we saw some tom  tomato juice on somebod  on,*MOT:	xxx  ya know what I think?,*FAT:	&hmm.,*CHI:	what?,*MOT: [laughing I think you're making up a big story].,*CHI:	I'm not !,*FAT:	you know that  in about a month we're going to Florida?,*CHI:	Daddy: !,*CHI:	are you there?,*CHI:	what'd you say about .,*FAT:	you know that we're going to go?,*CHI:	yes !,*FAT:	we gonna fly a plane.,8138
"xxx do you know that the steering+wheel comes off , Richard ?",richard_mothertoy.cha,558,know,think,know,interrogative,declarative,2,4.014,richard,mother,*MOT:	we're gonna hafta leave this part.,*MOT:	good.,*MOT:	I think maybe we'd better put the tire back in.,*CHI:	where's this go ?,*MOT:	you think maybe we'd better put the tire back in before we start,*CHI:	where's dis  go?,*CHI:	where's dis  go?,*CHI:	where's dis  go Mommy?,"*MOT:	Richard, let me see.",*MOT:	this goes right here.,"*MOT:	xxx do you know that the steeringwheel comes off, Richard?",*CHI:	yes.,*MOT:	you wanna see how the steeringwheel comes off?,8138
do you know that you can unscrew this right here ?,martin_mothertoy.cha,284,know,think,know,interrogative,declarative,2,4.011,martin,mother,*CHI:	xxx car xxx what's this?,*CHI:	xxx.,*MOT:	you wanna play with this car?,*MOT:	you want me to show you how it works?,*MOT:	do you know what  do you know what this is?,*MOT:	that's a screwdriver.,*CHI:	uhhuh I wanna use it.,*CHI:	xxx.,*MOT:	do you what takes a .,*MOT:	do you know that this car comes apart?,*MOT:	do you know that you can unscrew this right here?,*CHI:	yeah.,*MOT:	that's right yeah look at that.,8138
do you know that this car comes apart ?,martin_mothertoy.cha,280,know,think,know,interrogative,declarative,2,4.012,martin,mother,*MOT:	do you know what this is?,*CHI:	xxx car xxx what's this?,*CHI:	xxx.,*MOT:	you wanna play with this car?,*MOT:	you want me to show you how it works?,*MOT:	do you know what  do you know what this is?,*MOT:	that's a screwdriver.,*CHI:	uhhuh I wanna use it.,*CHI:	xxx.,*MOT:	do you what takes a .,*MOT:	do you know that this car comes apart?,*MOT:	do you know that you can unscrew this right here?,*CHI:	yeah.,8138
o:h did she know that was the cat in there ?,theresa_mothertoy.cha,196,know,think,know,interrogative,declarative,3,4.001,theresa,mother,*CHI:	yeah .,*MOT:	okay .,*MOT:	turn the page now?,*CHI:	yes.,*MOT:	okay.,*CHI:	and  and then  and then the &um +/.,*MOT:	xxx the picture first .,*CHI:	and then  the cat fell out when when she was &um picking the,*CHI:	and then  and then  then she no baby.,*CHI:	an the  an the  an the  an the  an the cloth fell out.,*MOT:	oh did she know that was the cat in there?,*MOT:	or xxx was the baby that she thought?,*CHI:	she thought that a cat was there.,8138
do you know they don't have bagels in Israel ?,david_dinner.cha,1271,know,think,know,interrogative,declarative,2,4.01,david,dinner,*CHI:	I don't like these . anyway.,*FAT:	 would you eat them in a box?,*FAT:	 would you eat them with a .,*CHI:	xxx.,*FAT:	 not in a box.,*CHI:	not in a box.,*FAT:	 not with a fox .,*FAT:	 not in a house .,*CHI:	not in a box.,*MOT:	how bout with some lox?,*MOT:	do you know they don't have bagels in Israel?,*FAT:	no +/.,*MOT:	couldn't believe it.,8138
you know that Betty's going to bring that dog to Israel ?,david_dinner.cha,561,know,think,know,interrogative,declarative,2,4.008,david,dinner,*MOT:	and .. a big cat.,*CHI:	a what +/.,*MOT:	and they were fighting with each_other.,"*CHI:	&uh, how did Betty stopped it?",*MOT:	she said .,*MOT:	 stop it you guys !,*CHI:	and did they do it?,"*MOT:	yeah, they did.",*CHI:	what?,"*MOT:	yeah, they stopped.",*MOT:	you know that Betty's going to bring that dog to Israel?,*MOT:	I don't believe it.,*FAT:	hm.,8138
do you know that they go to school and they even have work to do in school ?,john_dinner.cha,220,know,think,know,interrogative,declarative,2,4.013,john,dinner,*FAT:	xxx.,*MOT:	anybody that's hungry.,*MOT:	come over here.,*FAT:	we're having supper.,*CHI:	xxx.,*FAT:	we're having supper right now.,*MOT:	as a matter of fact we're going to close the door here.,"*MOT:	no, no one is playing here.","*MOT:	no, I want to explain something to you.",*MOT:	Janet and Sandy are not playing now.,*MOT:	do you know that they go to school and they even have work to do in school?,*FAT:	and do you know something else?,*MOT:	can you get out some glass and stuff so we can   .,8138
you [/] you know you slept until daddy hadda [: had to] wake you up ?,laurel_dinner.cha,2180,know,think,know,interrogative,declarative,2,4.004,laurel,dinner,*FAT:	hang on.,"*FAT:	the other thing, tootsie .",*MOT:	yeah.,*CHI:	wanna get down now.,*CHI:	wanna get down.,"*MOT:	you know, you're gonna wake up at about ten o'clock and tell me",*FAT:	what time did you sleep till this morning?,*MOT:	she slept a long time.,*FAT:	she slept until I woke her up to &ge  to go to work .,"*MOT:	yeah, she slept a long time .",*FAT:	you  you know you slept until daddy hadda  wake you up?,*FAT:	do you know daddy woke you up this morning ?,*MOT:	you was a very good girl this morning .,8138
you know this surcharge thing that everybody got back ?,frank_dinner.cha,1040,know,think,know,interrogative,declarative,2,4.016,frank,dinner,*CHI:	I want it.,*MOT:	yeah.,*MOT:	I'll cut it.,*MOT:	I'll cut it.,*CHI:	xxx can have it.,*MOT:	ow.,*MOT:	ow.,*MOT:	ow ow ow.,*CHI:	where's the potatos ?,*MOT:	something about  .,*MOT:	you know this surcharge thing that everybody got back?,"*MOT:	well, he counted that as  as how much  as part of our",*FAT:	yeah.,8138
did you know this is a tunnel ?,nanette_mothertoy.cha,1553,know,think,know,interrogative,declarative,2,4.017,nanette,mother,*MOT:	do you know what that means?,*MOT:	when Mommy does that to you what does it mean?,*CHI: [giggles].,*MOT:	it means .,*MOT:	 come here.,"*CHI:	 come here, kitty.","*MOT:	yeah, .",*MOT:	 come here kitty.,"*MOT:	oh, you know it isn't a mirror !",*MOT:	I don't know .,*MOT:	did you know this is a tunnel?,*MOT:	you see?,"*MOT:	there's a big hole, and it goes through here, and it comes out",8138
you know how many there are ?,wanda_mothertoy.cha,624,know,think,know,interrogative,interrogative,2,6.176,wanda,mother,"*CHI:	okay, xxx what .",*MOT:	&hmm?,*MOT:	something in the trunk too.,"*MOT:	oh, look what the trunk has in it.",*MOT:	a spare tire.,*MOT:	that's like in our car we have a spare tire in_case we get a flat,*MOT:	so_that  has_to be taken apart too.,*CHI:	xxx .,*CHI:	we have the last tire here.,*MOT:	mhm.,*MOT:	you know how many there are?,*MOT:	or do you have_to count them?,"*CHI:	one, two, three, four, five.",8138
do you know how that works ?,charlie_mothertoy.cha,3234,know,think,know,interrogative,interrogative,2,6.296,charlie,mother,*INV:	I'm associated with the project.,*MOT:	uhhuh.,*INV:	hi Charlie !,*CHI:	hi.,*MOT:	can you say .,*MOT:	 hi.,*CHI:	hi.,*INV:	I have a little gift for you for today's visit.,*CHI:	wow: !,*MOT:	oh Charlie !,*INV:	do you know how that works?,*MOT:	will it go?,*MOT:	you do know how it goes but its stuck.,8138
do you know why you had a good day ?,eddie_dinner.cha,1670,know,think,know,interrogative,interrogative,2,6.181,eddie,dinner,*CHI:	yes.,*FAT:	okay.,"*FAT:	. it's getting near your bedtime, right?",*FAT:	hm?,*CHI:	right.,*FAT:	right !,*CHI:	I want to listen to the tape recorder.,*FAT:	xxx.,*MOT:	did you think you had a good day today or a bad day?,*CHI:	good day.,*MOT:	do you know why you had a good day?,*MOT:	can you give us a reason why it was a good day?,*FAT:	can I have a little of this?,8138
oh you know what I see back there ?,helen_fathertoy.cha,1787,know,think,know,interrogative,interrogative,2,6.03,helen,father,*CHI:	I can't: xxx.,*FAT:	yes you can.,*CHI:	no it's too high.,*CHI:	look.,*FAT:	oh xxx.,*CHI:	it's fifty nine cents cause I did it.,*CHI:	I pressed .,*CHI:	I did it fifty nine cents.,*FAT:	okay what else should we get?,*CHI:	&uh buy some cookies.,*FAT:	oh you know what I see back there?,*CHI:	what?,*CHI:	&uh spaghet  spa .,8138
do you know what that's for ?,ursula_fathertoy.cha,2909,know,think,know,interrogative,interrogative,2,6.246,ursula,father,"*FAT:	can of milk, huh ?",*CHI:	another can .,*CHI:	two packs of  two cans of milk.,*CHI:	that's all we have.,*CHI:	can't .,*CHI:	we don't sell any more because .,*CHI:	we're gonna give them to you.,*CHI:	what's this?,*FAT:	do you know what that is?,*CHI:	what?,*FAT:	do you know what that's for?,*CHI:	what is it?,*FAT:	that's cream for coffee.,8138
do you know what this is ?,katie_fathertoy.cha,328,know,think,know,interrogative,interrogative,2,6.232,katie,father,*CHI:	yep.,*FAT:	what's that?,*CHI:	this all.,*FAT:	how many is that?,*CHI:	this one.,*CHI:	an this is two and this is three.,*CHI:	and this is four.,"*FAT:	okay ., let's see what else we have_to play with.",*CHI:	what?,*FAT:	what's this?,*FAT:	do you know what this is?,*CHI:	xxx.,*FAT:	I think  I think these are milk bottles.,8138
do you know what this says ?,helen_fathertoy.cha,454,know,think,know,interrogative,interrogative,2,6.211,helen,father,"*FAT:	oh, just to see some stuff.",*CHI:	no.,*FAT:	ya sure?,*CHI:	no.,*FAT:	come on.,*CHI:	no.,"*CHI:	no, Daddy.",*FAT:	let's see whether .,"*CHI:	no, D .",*FAT:	wait a second.,*FAT:	do you know what this says?,*CHI:	what?,"*FAT:	it says, .",8138
you know what I'm looking for ?,xavia_mothertoy.cha,2167,know,think,know,interrogative,interrogative,2,6.024,xavia,mother,*CHI:	okay !,*MOT:	all set?,*CHI:	ready !,*MOT:	hello.,*CHI:	hello.,*MOT:	how are you today?,*CHI:	fine.,*MOT:	the rain is very bad for my sore knee.,*CHI:	I know it is.,*MOT:	listen.,*MOT:	you know what I'm looking for?,*MOT:	some baby cereal.,*MOT:	do you have any baby cereal?,8138
