matched_term,file_name,match_line_number,know_option,think_option,verb,force,comp,subj,unique_id,child,interaction,context_pre_1,context_pre_2,context_pre_3,context_pre_4,context_pre_5,context_pre_6,context_pre_7,context_pre_8,context_pre_9,context_pre_10,matched_line,context_post_1,context_post_2,Sample_Set
I know you do .,victor_mothertoy.cha,195,know,think,know,declarative,declarative,1,1.008,victor,mother,*CHI:	soup?,*MOT:	maybe.,*MOT:	soup.,*CHI:	soup.,*CHI:	what's dis ?,*MOT:	that is .,*CHI:	what?,*MOT:	stuff you put in milk.,*MOT:	it's terrible it's all sugar.,*CHI:	I like sugar.,*MOT:	I know you do.,"*CHI:	what's dis , Mama?",*MOT:	that you know.,23
"I know it's your birthday and you got presents , but you still have_to eat your dinner .",charlie_dinner.cha,1525,know,think,know,declarative,declarative,1,1.015,charlie,dinner,*CHI:	xxx living room.,"*FAT:	you didn't lose it, you just left it in the living room.",*CHI:	why?,*FAT:	I don't know why.,*FAT:	why?,*CHI:	no.,"*FAT:	well, it's hard to eat with a baseball mitt on.",*FAT:	that's why.,"*CHI:	but Dad, I wanna see it.","*CHI:	Dad, it's my birthday and I get presents.","*FAT:	I know it's your birthday and you got presents, but you still have_to eat your dinner.",*CHI:	I don't want any: xxx.,*FAT:	sure you do.,23
and I know you like little books .,victor_mothertoy.cha,1812,know,think,know,declarative,declarative,1,1.004,victor,mother,*MOT:	may I see?,*CHI:	don't take a peek.,*MOT:	[laughs take a peek]?,*CHI:	no.,*MOT:	don't take a peek.,*MOT:	would you like a story?,"*CHI:	what, Mama?",*MOT:	would you like a story?,*CHI:	yeah.,*MOT:	I saw a little tiny book over here.,*MOT:	and I know you like little books.,*CHI:	where?,*MOT:	over here.,23
"I know you're <finished , > [>] Rachi .",john_dinner.cha,2188,know,think,know,declarative,declarative,1,1.003,john,dinner,*MOT:	Jimmy Carter would win.,*FAT:	I just wanted to make sure last time +/.,*MOT:	that .. what?,*SIS:	I going in there.,*MOT:	I don't think so.,*MOT:	because they're working in there.,*MOT:	and they don't want you to come there now.,*MOT:	after when they're finished you can come there.,*FAT:	they will be happy to have you +/.,*SIS:	and me finished.,"*MOT:	I know you're finished,   Rachi.",*SIS:	please .,*MOT:	how about something else?,23
no ya know Daddy wasn't home .,eddie_dinner.cha,992,know,think,know,declarative,declarative,2,1.002,eddie,dinner,*MOT:	xxx.,*MOT:	did you tell Daddy who had supper with us last night?,*MOT:	xxx.,*MOT:	who ate here last night?,*FAT:	I didn't see you last night .,*CHI:	Uncle Allen .,*FAT:	Allen who?,*CHI:	Allen Reed.,*FAT:	okay.,*FAT:	I didn't see you last night.,*MOT:	no ya know Daddy wasn't home.,*FAT:	tell me what you did last night.,"*MOT:	tell him, yeah  tell him what happened.",23
we know where the people go .,andy_fathertoy.cha,1418,know,think,know,declarative,interrogative,1,3.017,andy,father,*FAT:	where do the red and the black screw go? ,*CHI:	and where does dis  go? ,*CHI:	and these two blue screws? ,*FAT:	I dunno . ,*FAT:	and what was holding the wheel? ,*FAT:	we didn't remember. ,*FAT:	we should have .. maybe even written some things down. ,"*FAT:	like what belongs where, &hmm? ",*CHI:	but we knew where dese  people go . ,*FAT:	yup  that we know. ,*FAT:	we know where the people go. ,*CHI:	I know where dese:  go. ,*FAT:	I wonder what holds in the spare tire? ,23
yeah I know what he wants .,olivia_dinner.cha,567,know,think,know,declarative,interrogative,1,3.014,olivia,dinner,*FAT:	they're unreal.,*MOT:	was he xxx that night?,*FAT:	he was on that night yeah.,*FAT:	he's a good public relations man.,*FAT:	he sent residents to the party while he stayed in the hospital,*CHI:	wah  !,*CHI:	wah  !,*FAT:	all public relations.,*MOT:	oolee:   what's the matter ?,*CHI:	wah wah [high pitched noises].,*MOT:	yeah I know what he wants.,*MOT:	. you tired little fella?,*FAT:	are you tired little fella ?,23
oh I know what we can do for lunch .,charlie_fathertoy.cha,676,know,think,know,declarative,interrogative,1,3.009,charlie,father,*FAT:	chocolate. ,*CHI:	Oreos. ,*FAT:	Oreos. ,*FAT:	oh I see something that I would love to have for lunch. ,*FAT:	not that. ,*FAT:	lasagne. ,*CHI:	&mm lasagne . ,*FAT:	you know what  lasagne is? ,*CHI:	yeah. ,*CHI:	hey where that box is? ,*FAT:	oh I know what we can do for lunch. ,*CHI:	what? ,*FAT:	let's . ,23
"you know where to [//] where things go , right ?",andy_mothertoy.cha,1045,know,think,know,declarative,interrogative,2,3.001,andy,mother,*MOT:	okay. ,*CHI:	xxx back. ,*CHI:	I'll watch you. ,*MOT:	you'll watch me? ,*MOT:	you're not gonna help me? ,*MOT:	I'm not sure I could do it either. ,*CHI:	someone help us. ,"*MOT:	[laughs the blue screws go in front, right]? ",*MOT:	&th these are the headlights. ,*MOT:	you come help me. ,"*MOT:	you know where to  where things go, right? ",*MOT:	the people? ,*CHI:	the people belong inside it. ,23
I know where that is .,eddie_dinner.cha,510,know,think,know,declarative,interrogative,1,3.006,eddie,dinner,*FAT:	now tell me what you did.,"*CHI:	well, you know where I went with Philip and baby Mark?","*FAT:	nope, where'd you go?",*CHI:	to the playground with Philip and baby Mark and Joel and Rachel,*FAT:	which playground was this ?,*FAT:	what playground was this?,*MOT:	Clarendon Street.,*CHI:	Clarendon Street.,*FAT:	oh yeah.,*FAT:	mhm.,*FAT:	I know where that is.,*MOT:	and who did we see when we was at the playground?,*CHI:	Yoye.,23
"oh I know what you're gonna buy , too .",eddie_mothertoy.cha,1803,know,think,know,declarative,interrogative,1,3.007,eddie,mother,*CHI:	I don't want to.,*MOT:	okay do you wanna buy something from me?,*CHI:	no.,*MOT:	huh?,*CHI:	what?,*MOT:	would you like to buy something from me?,"*MOT:	I'll be a store lady, okay?",*CHI:	nah.,*MOT:	and  you come over and buy something.,*CHI:	no I wanna be .,"*MOT:	oh I know what you're gonna buy, too.",*CHI:	no I wanna be .,*MOT:	you wanna be the storeman?,23
so I know where that store is now .,susan_dinner.cha,1388,know,think,know,declarative,interrogative,1,3.005,susan,dinner,*MOT:	it's a size six.,*CHI:	it's a size six.,*FAT:	[laughs].,*CHI:	[laughs but xxx].,*FAT:	for  a six year old?,*FAT:	no kidding !,*CHI:	[laughs].,*FAT:	now that's twice as big and old as you.,*FAT:	I finally found out where Jack's is.,*FAT:	I drove past it on my way way to Jane Cook's.,*FAT:	so I know where that store is now.,*MOT:	hm?,*MOT:	does she live in Briggffona?,23
<I know what> [<] that is .,ursula_fathertoy.cha,3671,know,think,know,declarative,interrogative,1,3.01,ursula,father,*INV:	I brought you a present for today's visit.,"*CHI:	look, Daddy.","*FAT:	what's that, Urs?",*CHI:	I don't know.,*CHI:	I can't open it.,*CHI:	it's too tight to xxx.,*INV:	it is pretty tight.,*INV:	that's just for today's visit.,*FAT: [gasp].,*INV:	we have another present for her second visit .,*FAT:	I know what  that is.,*CHI:	what is it?,*FAT:	that's bubbles.,23
I know what we could do .,david_dinner.cha,1401,know,think,know,declarative,interrogative,1,3.008,david,dinner,*FAT:	I'm afraid we are  I think with your cream cheese and . &uh,"*FAT:	what're we gonna do when we wanna have a garlic bagel, David, or",*CHI:	we can &um.,*CHI:	you know what you can do?,*MOT:	what?,*SIS:	cream cheese and bagel on a . on a . &c  on a pretzel.,*MOT:	on a pretzel.,"*MOT:	oh, dear.","*MOT:	it's just not the same, though.",*CHI:	is that xxx.,*MOT:	I know what we could do., ,*CHI:	yeah !,23
"course he knows where she is , he's peeking at her from behind the tree .",ursula_mothertoy.cha,1699,knows,thinks,know,declarative,interrogative,3,3.018,ursula,mother,*CHI:	me.,*MOT:	[laughs she's giving her kitty cat a li]ttle ride in the carriage,*CHI:	yeah.,*MOT:	oh oh [gasp]!,*MOT:	look what happened.,"*MOT:	she's bending over to pick a very pretty flower, and . the cat",*MOT:	cats don't usually like to ride too well so . he's trying to run,*MOT:	she turns around and she goes .,*MOT:	 oh no:.,*MOT:	she sees the blanket on the ground and the cat's gone.,"*MOT:	course he knows where she is, he's peeking at her from behind the tree.",*MOT:	she runs off to get a policeman because she cann't find her cat.,*MOT:	she's really kind of worried.,23
I know what it is .,guy_fathertoy.cha,2076,know,think,know,declarative,interrogative,1,3.013,guy,father,*FAT:	what have we done wrong?,"*FAT:	&hmm xxx perhaps try that now, Guy.",*CHI:	what?,*CHI:	what?,"*FAT:	try it  try it now, sweetheart.",*FAT:	I don't think that makes a difference.,*FAT:	do you know something?,*CHI:	what?,*FAT:	I think . we're doing something wrong.,*FAT:	&ah !,*FAT:	I know what it is.,*FAT:	I know.,*FAT:	let's take it off.,23
I know why I'm <standing up> [>] .,patricia_dinner.cha,2007,know,think,know,declarative,interrogative,1,3.003,patricia,dinner,*FAT:	I know.,"*FAT:	I showed her that, but xxx.",*FAT:	look at it after dinner if you want.,*FAT:	eat your pickle.,*FAT:	I gave you a pickle to eat.,*FAT:	Usher likes pickles.,*CHI:	mumnum  mummum  .,*MOT:	what.,*MOT:	is the  is the xxx gone?,*FAT:	alright.,*FAT:	I know why I'm standing up .,*FAT:	I wanna call Michael.,*MOT:	the french frys are all_gone.,23
"oh , I know what that is .",patricia_fathertoy.cha,1767,know,think,know,declarative,interrogative,1,3.011,patricia,father,*CHI:	that's a boy.,"*FAT:	alright, let's see xxx your stereotypes.",*FAT:	is this a boy or a girl.,*CHI:	a boy.,*FAT:	that's a boy too.,"*FAT:	oh, there's hope for you.","*FAT:	alright, now .",*FAT:	oh we took something off.,*FAT:	what's this?,*CHI:	what's this?,"*FAT:	oh, I know what that is.",*CHI:	what?,*FAT:	it's called a jack.,23
&uh o:h now I know why they call it a Take_apart car [=! laughs] !,wanda_mothertoy.cha,481,know,think,know,declarative,interrogative,1,3.002,wanda,mother,*MOT:	you want to make it looser if you want to take it apart.,*CHI:	oh [coughs].,*CHI:	I wonder if the door's locked.,"*MOT:	oh, no.",*MOT:	it's not locked.,*MOT:	it's just closed so_that people walking up and down the hall won't,*CHI:	oh.,*MOT:	that's one more.,"*MOT:	okay ., who's going to take the tire off, me or you?",*MOT:	you.,*MOT:	&uh oh now I know why they call it a Take_apart car [laughs]!,*MOT:	that's one whole side of the car taken apart.,"*MOT:	here, we've got one more side of the car to take apart.",23
"I know what goes back here , Lisa .",wanda_mothertoy.cha,1000,know,think,know,declarative,interrogative,1,3.016,wanda,mother,*CHI:	Lisa.,"*MOT:	Debbie and Lisa, the two mechanics?",*CHI:	yeah.,"*MOT:	okay, Debbie   Debbie what do think we.",*CHI:	Debra .,*MOT:	should do?,*CHI:	&uh.,*MOT:	to fix this car?,*CHI:	I don't know.,"*MOT:	&um, let's see if I can remember what goes back here.","*MOT:	I know what goes back here, Lisa.",*MOT:	Debbie.,*MOT:	who are you?,23
you know that Betty's going to bring that dog to Israel ?,david_dinner.cha,561,know,think,know,interrogative,declarative,2,4.008,david,dinner,*MOT:	and .. a big cat.,*CHI:	a what +/.,*MOT:	and they were fighting with each_other.,"*CHI:	&uh, how did Betty stopped it?",*MOT:	she said .,*MOT:	 stop it you guys !,*CHI:	and did they do it?,"*MOT:	yeah, they did.",*CHI:	what?,"*MOT:	yeah, they stopped.",*MOT:	you know that Betty's going to bring that dog to Israel?,*MOT:	I don't believe it.,*FAT:	hm.,23
do you know that this car comes apart ?,martin_mothertoy.cha,280,know,think,know,interrogative,declarative,2,4.012,martin,mother,*MOT:	do you know what this is?,*CHI:	xxx car xxx what's this?,*CHI:	xxx.,*MOT:	you wanna play with this car?,*MOT:	you want me to show you how it works?,*MOT:	do you know what  do you know what this is?,*MOT:	that's a screwdriver.,*CHI:	uhhuh I wanna use it.,*CHI:	xxx.,*MOT:	do you what takes a .,*MOT:	do you know that this car comes apart?,*MOT:	do you know that you can unscrew this right here?,*CHI:	yeah.,23
did his mother know he was here ?,frank_dinner.cha,341,know,think,know,interrogative,declarative,3,4.002,frank,dinner,*FAT:	you know why  you didn't go to the pool?,*CHI:	why?,*FAT:	it was raining.,*CHI:	oh.,*CHI:	I already picked my salad.,*MOT:	oh.,*MOT:	you did pick your salad?,*MOT:	that's healthy.,*MOT:	now tell Daddy about how you played with Michael today.,*MOT:	on the way home from school we met him playing alone and so he came,*FAT:	did his mother know he was here?,*MOT:	well he called her.,*FAT:	he knows his phone number?,23
do you know they don't have bagels in Israel ?,david_dinner.cha,1271,know,think,know,interrogative,declarative,2,4.01,david,dinner,*CHI:	I don't like these . anyway.,*FAT:	 would you eat them in a box?,*FAT:	 would you eat them with a .,*CHI:	xxx.,*FAT:	 not in a box.,*CHI:	not in a box.,*FAT:	 not with a fox .,*FAT:	 not in a house .,*CHI:	not in a box.,*MOT:	how bout with some lox?,*MOT:	do you know they don't have bagels in Israel?,*FAT:	no +/.,*MOT:	couldn't believe it.,23
you know this surcharge thing that everybody got back ?,frank_dinner.cha,1040,know,think,know,interrogative,declarative,2,4.016,frank,dinner,*CHI:	I want it.,*MOT:	yeah.,*MOT:	I'll cut it.,*MOT:	I'll cut it.,*CHI:	xxx can have it.,*MOT:	ow.,*MOT:	ow.,*MOT:	ow ow ow.,*CHI:	where's the potatos ?,*MOT:	something about  .,*MOT:	you know this surcharge thing that everybody got back?,"*MOT:	well, he counted that as  as how much  as part of our",*FAT:	yeah.,23
do you know that they go to school and they even have work to do in school ?,john_dinner.cha,220,know,think,know,interrogative,declarative,2,4.013,john,dinner,*FAT:	xxx.,*MOT:	anybody that's hungry.,*MOT:	come over here.,*FAT:	we're having supper.,*CHI:	xxx.,*FAT:	we're having supper right now.,*MOT:	as a matter of fact we're going to close the door here.,"*MOT:	no, no one is playing here.","*MOT:	no, I want to explain something to you.",*MOT:	Janet and Sandy are not playing now.,*MOT:	do you know that they go to school and they even have work to do in school?,*FAT:	and do you know something else?,*MOT:	can you get out some glass and stuff so we can   .,23
"xxx do you know that the steering+wheel comes off , Richard ?",richard_mothertoy.cha,558,know,think,know,interrogative,declarative,2,4.014,richard,mother,*MOT:	we're gonna hafta leave this part.,*MOT:	good.,*MOT:	I think maybe we'd better put the tire back in.,*CHI:	where's this go ?,*MOT:	you think maybe we'd better put the tire back in before we start,*CHI:	where's dis  go?,*CHI:	where's dis  go?,*CHI:	where's dis  go Mommy?,"*MOT:	Richard, let me see.",*MOT:	this goes right here.,"*MOT:	xxx do you know that the steeringwheel comes off, Richard?",*CHI:	yes.,*MOT:	you wanna see how the steeringwheel comes off?,23
you know that [//] in about a month we're going to Florida ?,theresa_dinner.cha,1045,know,think,know,interrogative,declarative,2,4.007,theresa,dinner,*MOT:	xxx .,*FAT:	who?,*CHI:	I don't see any noisemakers &ha !,*MOT:	haha .,*CHI:	and then we saw some tom  tomato juice on somebod  on,*MOT:	xxx  ya know what I think?,*FAT:	&hmm.,*CHI:	what?,*MOT: [laughing I think you're making up a big story].,*CHI:	I'm not !,*FAT:	you know that  in about a month we're going to Florida?,*CHI:	Daddy: !,*CHI:	are you there?,23
"you can see [/] you can see Michael's daddy play , you know Michael's daddy plays baseball (.) for the Red Sox ?",frank_dinner.cha,741,know,think,know,interrogative,declarative,2,4.009,frank,dinner,*MOT:	some rental agent just tried to make it sound better than it was.,*FAT:	they probably came in without a lease too.,*FAT:	they just there for such a short period.,*MOT:	oh they think  they're giving six week  six month leases.,*FAT:	oh.,"*MOT:	Frank, you stop that +/.",*FAT:	don't kick please.,*FAT:	you know what I got . for next month?,*CHI:	what?,*FAT:	two tickets for the Red Sox game.,"*MOT:	you can see  you can see Michael's daddy play, you know Michael's daddy plays baseball . for the Red Sox?",*MOT:	&um . something else.,*MOT:	what else?,23
you know that we're going to go ?,theresa_dinner.cha,1060,know,think,know,interrogative,declarative,2,4.006,theresa,dinner,*CHI:	and then we saw some tom  tomato juice on somebod  on,*MOT:	xxx  ya know what I think?,*FAT:	&hmm.,*CHI:	what?,*MOT: [laughing I think you're making up a big story].,*CHI:	I'm not !,*FAT:	you know that  in about a month we're going to Florida?,*CHI:	Daddy: !,*CHI:	are you there?,*CHI:	what'd you say about .,*FAT:	you know that we're going to go?,*CHI:	yes !,*FAT:	we gonna fly a plane.,23
do you <know daddy woke you up this morning> [>] ?,laurel_dinner.cha,2187,know,think,know,interrogative,declarative,2,4.015,laurel,dinner,"*FAT:	the other thing, tootsie .",*MOT:	yeah.,*CHI:	wanna get down now.,*CHI:	wanna get down.,"*MOT:	you know, you're gonna wake up at about ten o'clock and tell me",*FAT:	what time did you sleep till this morning?,*MOT:	she slept a long time.,*FAT:	she slept until I woke her up to &ge  to go to work .,"*MOT:	yeah, she slept a long time .",*FAT:	you  you know you slept until daddy hadda  wake you up,*FAT:	do you know daddy woke you up this morning ?,*MOT:	you was a very good girl this morning .,*CHI:	you woke me up when I got up.,23
do you know that you can unscrew this right here ?,martin_mothertoy.cha,284,know,think,know,interrogative,declarative,2,4.011,martin,mother,*CHI:	xxx car xxx what's this?,*CHI:	xxx.,*MOT:	you wanna play with this car?,*MOT:	you want me to show you how it works?,*MOT:	do you know what  do you know what this is?,*MOT:	that's a screwdriver.,*CHI:	uhhuh I wanna use it.,*CHI:	xxx.,*MOT:	do you what takes a .,*MOT:	do you know that this car comes apart?,*MOT:	do you know that you can unscrew this right here?,*CHI:	yeah.,*MOT:	that's right yeah look at that.,23
do you know when we parked the car just now I haved to put a quarter in the parking+meter ?,nanette_mothertoy.cha,814,know,think,know,interrogative,declarative,2,4.003,nanette,mother,*MOT:	what's that?,*CHI:	a quarter.,*MOT:	a quarter.,*MOT:	right.,*MOT:	do you remember what this one is?,"*MOT:	wait, this is a quarter you press this for a quarter it's a two",*MOT:	do you know what this one is?,*CHI:	a penny.,"*MOT:	&mm, here's a penny.",*MOT:	there's lots_of money here and we can buy lots_of food with the,*MOT:	do you know when we parked the car just now I haved to put a quarter in the parkingmeter?,*MOT:	cause it costs money to park your car on the street.,*CHI:	that's a bunny rabbit.,23
did you know this is a tunnel ?,nanette_mothertoy.cha,1553,know,think,know,interrogative,declarative,2,4.017,nanette,mother,*MOT:	do you know what that means?,*MOT:	when Mommy does that to you what does it mean?,*CHI: [giggles].,*MOT:	it means .,*MOT:	 come here.,"*CHI:	 come here, kitty.","*MOT:	yeah, .",*MOT:	 come here kitty.,"*MOT:	oh, you know it isn't a mirror !",*MOT:	I don't know .,*MOT:	did you know this is a tunnel?,*MOT:	you see?,"*MOT:	there's a big hole, and it goes through here, and it comes out",23
o:h did she know that was the cat in there ?,theresa_mothertoy.cha,196,know,think,know,interrogative,declarative,3,4.001,theresa,mother,*CHI:	yeah .,*MOT:	okay .,*MOT:	turn the page now?,*CHI:	yes.,*MOT:	okay.,*CHI:	and  and then  and then the &um +/.,*MOT:	xxx the picture first .,*CHI:	and then  the cat fell out when when she was &um picking the,*CHI:	and then  and then  then she no baby.,*CHI:	an the  an the  an the  an the  an the cloth fell out.,*MOT:	oh did she know that was the cat in there?,*MOT:	or xxx was the baby that she thought?,*CHI:	she thought that a cat was there.,23
do you know what that is ?,ursula_fathertoy.cha,2903,know,think,know,interrogative,interrogative,2,6.255,ursula,father,*CHI:	a can of milk.,*CHI:	an another   and another can of milk.,"*FAT:	can of milk, huh ?",*CHI:	another can .,*CHI:	two packs of  two cans of milk.,*CHI:	that's all we have.,*CHI:	can't .,*CHI:	we don't sell any more because .,*CHI:	we're gonna give them to you.,*CHI:	what's this?,*FAT:	do you know what that is?,*CHI:	what?,*FAT:	do you know what that's for?,23
do you know what that's called ?,ursula_fathertoy.cha,1912,know,think,know,interrogative,interrogative,2,6.247,ursula,father,*FAT:	you see this?,*FAT:	what is this?,*FAT:	you know  ..,*CHI:	ga   .,*FAT:	what we call those?,*CHI:	what?,*FAT:	this is a bolt.,*FAT:	and what is this?,*FAT:	xxx .,*CHI:	this is a  xxx you hafta put this.,*FAT:	do you know what that's called?,*CHI:	what?,*FAT:	it's a nut.,23
<ya know what's a good thing to eat with> [<] ?,charlie_dinner.cha,3969,know,think,know,interrogative,interrogative,2,6.067,charlie,dinner,"*FAT:	ya know, people say that +/.","*MOT:	hey, hey, hey, hey .",*MOT:	uhhuh .,*FAT:	hey you.,*CHI:	0.,*MOT:	that's no good.,*MOT:	if you don't wanna eat it that's okay too.,*MOT:	but I don't want you playing with it.,*MOT:	no good to play.,*CHI:	I'm just   .,*MOT:	ya know what's a good thing to eat with ?,"*MOT:	&um, your spoon .",*FAT:	spoon is very good for cake.,23
well do you know what kind that is ?,helen_fathertoy.cha,1879,know,think,know,interrogative,interrogative,2,6.278,helen,father,*FAT:	fifty?,*CHI:	yeah.,"*CHI:	Daddy, now you buy some cookies.",*FAT:	what kind of cookies should we get?,*CHI:	&uh . this one.,*FAT:	that one?,*CHI:	yeah.,*FAT:	not this one?,*CHI:	no.,*FAT:	this .,*FAT:	well do you know what kind that is?,*CHI:	what?,*FAT:	that's oatmeal with ground raisins.,23
you know what we bought in the supermarket ?,martin_dinner.cha,1306,know,think,know,interrogative,interrogative,2,6.113,martin,dinner,*MOT:	right.,*MOT:	what's that?,*CHI:	salt.,*FAT:	xxx.,*CHI:	xxx.,*CHI:	some more chicken xxx.,*MOT:	you what?,*CHI:	that was a chicken.,*MOT:	a chicken?,*CHI:	yeah.,*MOT:	you know what we bought in the supermarket?,*MOT:	we bought chicken hot dogs.,"*FAT:	oh, I've seen those.",23
ya know what happened ?,bobby_dinner.cha,1075,know,think,know,interrogative,interrogative,2,6.07,bobby,dinner,*CHI:	&mm.,*CHI:	dis  xxx.,*MOT:	you like that?,*CHI:	I want gravy.,*CHI:	I want some . gravy.,*CHI:	I &ee I want some gravy  &s.,*FAT:	she didn't take that long .,*CHI:	I want some gravy .,*MOT:	xxx .,*FAT:	xxx.,*MOT:	ya know what happened?,*FAT:	what?,*MOT:	the burner in the back isn't working that well.,23
"Patricia , do you know where we lived when you was a baby ?",patricia_dinner.cha,3681,know,think,know,interrogative,interrogative,2,6.192,patricia,dinner,*MOT:	put your feet down .,*FAT:	get your feet  off !,*FAT:	get your feet down.,*CHI:	I'm a baby: I'm xxx a baby !,*CHI:	no.,"*CHI:	now, I'm xxx.","*CHI:	now, when I was a baby.",*MOT:	you was a baby?,*CHI:	when I was a baby.,*MOT:	when you was a baby.,"*FAT:	Patricia, do you know where we lived when you was a baby?",*CHI:	where?,*FAT:	do you know &wh .,23
