matched_term,file_name,match_line_number,definite_option,indefinite_option,target,token,force,position,modifier,unique_id,copular_use,child,interaction,context_pre_1,context_pre_2,context_pre_3,context_pre_4,context_pre_5,context_pre_6,context_pre_7,context_pre_8,context_pre_9,context_pre_10,matched_line,context_post_1,context_post_2,Sample_Set,factors
and look the cat is is on top of that little boy's head.,david_mothertoy.cha,2864,the,a,definite,the,declarative,subject,n/a,10.11,yes,david,mother,MOTHER: \t and they are so angry this little boy and girl... who are dressed up like a lady and a policeman.,MOTHER: \t I think they're really determined to get the cat now.,MOTHER: \t but who get him?,MOTHER: \t who got the cat?,CHILD: \t the boy.,MOTHER: \t the little boy.,MOTHER: \t right.,MOTHER: \t the one that was wearing the Batman shirt.,MOTHER: \t he caught the cat.,MOTHER: \t oh.,MOTHER: \t and look the cat is is on top of that little boy's head.,MOTHER: \t does he look very happy ?,CHILD: \t hunhunh.,n/a,definite
the little bit that I did fell out.,david_mothertoy.cha,3528,the,a,definite,the,declarative,subject,little,10.12,no,david,mother,MOTHER: \t this is getting ripped.,CHILD: \t I know.,CHILD: \t that's because all the people are coming and checking and ripping and sitting.,MOTHER: \t [noise],CHILD: \t take that thing out.,MOTHER: \t uh oh.,MOTHER: \t uh oh.,CHILD: \t what happened?,MOTHER: \t uh oh.,MOTHER: \t [noise],MOTHER: \t the little bit that I did fell out.,CHILD: \t which fell out?,MOTHER: \t the little nuts that I put back in.,n/a,definite
that's a lady.,eddie_fathertoy.cha,1522,the,a,indefinite,a,declarative,object,n/a,10.13,yes,eddie,father,CHILD: \t this doesn't have no pages to read.,FATHER: \t well that's okay.,FATHER: \t do you know what it's about?,FATHER: \t it's about a...,CHILD: \t cat.,FATHER: \t about a cat.,FATHER: \t now what's this here?,CHILD: \t he went...,FATHER: \t now there's a woman.,CHILD: \t and a...,FATHER: \t that's a lady.,CHILD: \t cat.,CHILD: \t ha.,n/a,indefinite
"he's a mess, isn't he?",eddie_mothertoy.cha,1549,the,a,indefinite,a,interrogative,object,n/a,10.14,yes,eddie,mother,CHILD: \t the mother.,MOTHER: \t now what's going to happen I wonder?,CHILD: \t I think the cat's...,MOTHER: \t can you think?,MOTHER: \t can you think what's going to happen?,CHILD: \t [laugh],MOTHER: \t what is going on here?,MOTHER: \t what is going on?,CHILD: \t the boy is right in the carriage.,MOTHER: \t oh and look at the poor policeman.,"MOTHER: \t he's a mess, isn't he?",MOTHER: \t all wet.,"MOTHER: \t he can't walk very well because he fell off a branch, right?",n/a,indefinite
"he doesn't go to the pool very much, does he?",frank_dinner.cha,470,the,a,definite,the,declarative,prepositional,n/a,10.15,no,frank,dinner,MOTHER: \t I...,MOTHER: \t no.,MOTHER: \t I said after...,MOTHER: \t no I didn't.,CHILD: \t you didn't?,FATHER: \t do they live on the third floor?,CHILD: \t uh huh.,MOTHER: \t I didn't say I wanted to come.,MOTHER: \t I just said to come home in half an hour.,FATHER: \t think you'll play with him tomorrow?,"FATHER: \t he doesn't go to the pool very much, does he?",MOTHER: \t they live in Florida and uh…,CHILD: \t no they don't.,n/a,definite
that's where the extra tire is kept.,guy_fathertoy.cha,1346,the,an,definite,the,declarative,subject,extra,10.16,yes,guy,father,CHILD: \t I did it.,FATHER: \t yes you did.,"FATHER: \t okay, what else would you like to do?",CHILD: \t the motor.,FATHER: \t the motor.,FATHER: \t where is the motor?,CHILD: \t inside here.,FATHER: \t really?,FATHER: \t ah.,FATHER: \t that's the trunk.,FATHER: \t that's where the extra tire is kept.,FATHER: \t where do you think the motor is if this is the trunk?,CHILD: \t hey.,n/a,definite
there's still a motor?,guy_fathertoy.cha,1524,the,a,indefinite,a,interrogative,object,n/a,10.17,yes,guy,father,CHILD: \t this is going be easy one.,FATHER: \t what makes you think so?,CHILD: \t oops.,CHILD: \t I did it.,FATHER: \t yes you did.,CHILD: \t this is gonna be easy.,CHILD: \t I did it.,FATHER: \t mhm.,CHILD: \t now what?,FATHER: \t what would you like to do?,FATHER: \t there's still a motor?,CHILD: \t what motor?,FATHER: \t where do you think it is?,n/a,indefinite
what do you think the policeman says to her?,guy_mothertoy.cha,2287,the,a,definite,the,interrogative,subject,n/a,10.18,no,guy,mother,MOTHER: \t that's a little boy who has a policeman costume on.,MOTHER: \t she runs over to him.,MOTHER: \t and she says...,"MOTHER: \t ""Mr Policeman, I lost my kitty.""",MOTHER: \t the little boy is listening too.,MOTHER: \t and he's riding his what?,CHILD: \t bike.,MOTHER: \t right.,MOTHER: \t but look.,MOTHER: \t what's the policeman...,MOTHER: \t what do you think the policeman says to her?,"MOTHER: \t ""there's your kitty.""","MOTHER: \t ""you didn't lose your kitty.""",n/a,definite
"Mommy, I don't want the sauce.",helen_dinner.cha,2555,the,a,definite,the,declarative,object,n/a,10.19,no,helen,dinner,MOTHER: \t what do you think?,"FATHER: \t well, you might be right, but ...","CHILD: \t Mommy, I want another corn, please.","SISTER: \t I want another corn, please.",CHILD: \t that's…,"FATHER: \t Helen, you have more corn on here and you have to eat your fish and you have to eat the spinach.",SISTER: \t I want corn.,MOTHER: \t come on...,MOTHER: \t finish all your fish.,"MOTHER: \t eat some spinach, Sarah.","SISTER: \t Mommy, I don't want the sauce.",MOTHER: \t then don't eat the tomatoes.,MOTHER: \t you can eat the fish.,n/a,definite
this looks like a sofa.,helen_fathertoy.cha,2530,the,a,indefinite,a,declarative,object,n/a,10.2,no,helen,father,FATHER: \t how about a stove?,FATHER: \t should we get an oven?,CHILD: \t yep.,"FATHER: \t okay, get the oven.",FATHER: \t can you cook anything on it?,CHILD: \t no cause it keep.,FATHER: \t how about how about cooking a can of soup?,FATHER: \t could you cook a can of soup on there?,CHILD: \t you gotta sit in your chair.,CHILD: \t the...,FATHER: \t this looks like a sofa.,"CHILD: \t oh, it's a chair...",CHILD: \t make pretend you're sitting in it.,n/a,indefinite
okay and where's... the stove ?,helen_fathertoy.cha,2613,the,a,definite,the,interrogative,object,n/a,10.21,yes,helen,father,CHILD: \t it's a man and a woman.,FATHER: \t okay.,CHILD: \t you stand right there.,CHILD: \t and you stand right there.,FATHER: \t and what're we gonna give them to eat ?,FATHER: \t [noise],CHILD: \t [noise],FATHER: \t what's that?,CHILD: \t stove…,FATHER: \t no that look that looks like a sink.,FATHER: \t okay and where's... the stove ?,CHILD: \t the…,CHILD: \t here.,n/a,definite
okay... you gonna put it on the stove to get hot?,helen_fathertoy.cha,2703,the,a,definite,the,interrogative,prepositional,n/a,10.22,no,helen,father,FATHER: \t okay.,CHILD: \t you don't need forks and knives... and two spoons.,"FATHER: \t well, don't I need a spoon to…","FATHER: \t oh, you left me one spoon.",FATHER: \t good.,CHILD: \t yeah.,FATHER: \t okay you gonna make some coffee?,CHILD: \t yep.,"FATHER: \t okay, put that.",CHILD: \t I put some sugar in.,FATHER: \t okay... you gonna put it on the stove to get hot?,CHILD: \t gonna... put it on the stove to get hot.,CHILD: \t yep.,n/a,definite
"it's really a pipe, you see.",helen_mothertoy.cha,2844,the,a,indefinite,a,declarative,object,n/a,10.23,yes,helen,mother,CHILD: \t now he's going into the barrel.,MOTHER: \t into the barrel?,CHILD: \t yeah.,"MOTHER: \t okay, and what are they doing?",CHILD: \t they're trying to catch him.,MOTHER: \t yeah.,MOTHER: \t they're climbing in the barrel…,CHILD: \t why?,MOTHER: \t right of...,MOTHER: \t ah now... the cat came out.,"MOTHER: \t it's really a pipe, you see.",MOTHER: \t and you know what's down here?,CHILD: \t what?,n/a,indefinite
they're gonna chase the cat again.,isadora_fathertoy.cha,4090,the,a,definite,the,declarative,object,n/a,10.24,no,isadora,father,FATHER: \t but.,FATHER: \t they see the cat's coming.,FATHER: \t look.,FATHER: \t her hat fell on his head.,CHILD: \t yeah.,FATHER: \t isn't that funny?,"FATHER: \t oh, well.",FATHER: \t so.,FATHER: \t now they go up.,FATHER: \t and.,FATHER: \t they're gonna chase the cat again.,FATHER: \t and.,FATHER: \t they chase him through the pipe.,n/a,definite
is that a dime?,isadora_mothertoy.cha,542,the,a,indefinite,a,interrogative,object,n/a,10.25,yes,isadora,mother,MOTHER: \t but don't give me back the money I'm giving you.,MOTHER: \t that belongs to you.,MOTHER: \t just give me the change.,MOTHER: \t look it.,MOTHER: \t what are these?,MOTHER: \t what are those?,CHILD: \t coins?,MOTHER: \t yeah.,MOTHER: \t what kind of coins?,CHILD: \t I don't know.,MOTHER: \t is that a dime?,MOTHER: \t no.,MOTHER: \t what is it?,n/a,indefinite
do ya think it's the little boy's?,isadora_mothertoy.cha,3092,the,a,definite,the,interrogative,object,little,10.26,yes,isadora,mother,CHILD: \t okay.,MOTHER: \t who do you think this boy...,MOTHER: \t what is this?,MOTHER: \t what is that?,CHILD: \t a bike…,MOTHER: \t who has a red tricycle?,CHILD: \t what?,MOTHER: \t is that your red tricycle?,CHILD: \t no.,MOTHER: \t no?,MOTHER: \t do ya think it's the little boy's?,CHILD: \t the little boy's...,MOTHER: \t yeah.,n/a,definite
he was a farmer.,john_dinner.cha,1594,the,a,indefinite,a,declarative,object,n/a,10.27,yes,john,dinner,MOTHER: \t [noise],FATHER: \t who would you vote for?,MOTHER: \t [noise],SISTER: \t I'd vote on Carter.,CHILD: \t : would vote Jimmy Carter.,SISTER: \t …,MOTHER: \t [noise],"MOTHER: \t when we went to vote, remember?",FATHER: \t do you know what Carter was before?,CHILD: \t what?,FATHER: \t he was a farmer.,MOTHER: \t this is terrible.,MOTHER: \t I mean…,n/a,indefinite
"it's a pretty silly book, huh?",john_fathertoy.cha,570,the,a,indefinite,a,interrogative,object,pretty silly,10.28,yes,john,father,FATHER: \t let's sit down.,FATHER: \t let me sit down.,CHILD: \t the cat chase.,FATHER:[grunt],CHILD: \t there's cat.,FATHER: \t you wanna read this?,FATHER: \t or should I read it?,CHILD: \t you read it.,FATHER: \t okay.,CHILD: \t pretty silly thing.,"FATHER: \t it's a pretty silly book, huh?",CHILD: \t yeah.,"FATHER: \t well ya see, once upon a time there was a girl.",n/a,indefinite
what happened to the pussy cat?,john_fathertoy.cha,599,the,a,definite,the,interrogative,prepositional,n/a,10.29,no,john,father,FATHER: \t okay.,CHILD: \t pretty silly thing.,"FATHER: \t it's a pretty silly book, huh?",CHILD: \t yeah.,"FATHER: \t well ya see, once upon a time there was a girl.",FATHER: \t and she was... she had a pussy cat.,CHILD: \t yeah.,FATHER: \t uh oh!,FATHER: \t the pussy cat ran out when she was picking a flower.,CHILD: \t yeah.,FATHER: \t what happened to the pussy cat?,FATHER: \t she doesn't see.,FATHER: \t where's the pussy cat?,n/a,definite
she's a nurse.,john_fathertoy.cha,892,the,a,indefinite,a,declarative,object,n/a,10.3,yes,john,father,"FATHER: \t and now, the girl comes in.",FATHER: \t and the policeman is all bruised.,FATHER: \t and the little boy is all bruised.,FATHER: \t and what does she come out as?,FATHER: \t that's a...,CHILD: \t a baker.,FATHER: \t a baker?,"FATHER: \t no, what kind of a hat does she wear?",FATHER: \t a nurse.,CHILD: \t nurse.,FATHER: \t she's a nurse.,FATHER: \t she's going to take care of them.,FATHER: \t isn't that nice?,n/a,indefinite
you wanna do the car first?,john_mothertoy.cha,77,the,a,definite,the,interrogative,object,n/a,10.31,no,john,mother,MOTHER: \t at the same time.,CHILD: \t oh.,MOTHER: \t and they can hear and see if we stay around here.,CHILD: \t oh.,MOTHER: \t okay?,MOTHER: \t did you hear the three things that Sandy said to us?,CHILD: \t yeah.,MOTHER: \t we can either...,MOTHER: \t I'll show you the things.,MOTHER: \t we can do this book.,MOTHER: \t you wanna do the car first?,CHILD: \t [noise],MOTHER: \t okay.,n/a,definite
that is a wrench.,john_mothertoy.cha,863,the,a,indefinite,a,declarative,object,n/a,10.32,yes,john,mother,MOTHER: \t yeah.,MOTHER: \t see upside down.,MOTHER: \t that's it.,MOTHER: \t oh this one you don't do with a screw.,MOTHER: \t you know what...,MOTHER: \t can...,MOTHER: \t you know what you do this one with?,MOTHER: \t oh hey I didn't know that you...,CHILD: \t this is a wrench.,MOTHER: \t that's right.,MOTHER: \t that is a wrench.,CHILD: \t say...,"CHILD: \t ""number thirteen.""",n/a,indefinite
and the cat is watching.,john_mothertoy.cha,1700,the,a,definite,the,declarative,subject,n/a,10.33,yes,john,mother,MOTHER: \t but what is this over here?,CHILD: \t that's a lake.,MOTHER: \t a lake.,MOTHER: \t so.,MOTHER: \t when the policewoman crawls out.,MOTHER: \t [noise],MOTHER: \t into the water the goes.,MOTHER: \t and the Emma... the girl who's making believe she is the mother says...,"MOTHER: \t ""there she is running up there.""",MOTHER: \t well the policewoman helps the ... girl who's making believe she's the mother down.,MOTHER: \t and the cat is watching.,MOTHER: \t and the cat starts running down.,MOTHER: \t and they all fall into the water.,n/a,definite
can we use this for a cup?,katie_fathertoy.cha,1030,the,a,indefinite,a,interrogative,prepositional,n/a,10.34,no,katie,father,"CHILD: \t no, in a little while.",FATHER: \t just a little while alright... up here.,CHILD: \t let's have some cake.,FATHER: \t we gonna have cake now too?,CHILD: \t yep.,FATHER: \t okay.,CHILD: \t let's drink some coffee first.,CHILD: \t I wanna get my coffee.,FATHER: \t I don't see another cup here.,"FATHER: \t well, how about this?",FATHER: \t can we use this for a cup?,CHILD: \t yup.,CHILD: \t here's your cup.,n/a,indefinite
[laugh] you're not a ham?,katie_mothertoy.cha,959,the,a,indefinite,a,interrogative,object,n/a,10.35,yes,katie,mother,CHILD: \t what?,MOTHER: \t maybe we'll get one for Christmas.,CHILD: \t maybe we'll get one for Christmas?,MOTHER: \t mhm.,MOTHER: \t do you like to have your picture taken?,CHILD: \t what?,MOTHER: \t do you like to have your picture taken?,CHILD: \t yeah.,MOTHER: \t are you a ham?,CHILD: \t I'm not a ham.,MOTHER: \t [laugh] you're not a ham?,MOTHER: \t are you sure?,CHILD: \t [noise],n/a,indefinite
doesn't look like a piano.,katie_mothertoy.cha,1316,the,a,indefinite,a,declarative,object,n/a,10.36,no,katie,mother,CHILD: \t tomorrow.,MOTHER: \t tomorrow we'll take it off?,CHILD: \t tomorrow we'll take em off.,MOTHER: \t you don't wanna see what's under here?,CHILD: \t [noise],MOTHER: \t I wish I knew what was under there.,MOTHER: \t what do you think it is?,CHILD: \t a piano?,MOTHER: \t huh?,CHILD: \t a piano?,MOTHER: \t doesn't look like a piano.,CHILD: \t [noise],MOTHER: \t what do you think?,n/a,indefinite
it's a grocery store.,katie_mothertoy.cha,1350,the,a,indefinite,a,declarative,object,n/a,10.37,yes,katie,mother,MOTHER: \t what do you think?,"CHILD: \t open it up, Mommy.",MOTHER: \t wanna open it?,CHILD: \t mhm.,"MOTHER: \t okay, you ready?",MOTHER: \t are you ready?,CHILD: \t yep.,"MOTHER: \t [gasp] oh, look.",CHILD: \t a piano. [laugh],"MOTHER: \t no, it isn't.",MOTHER: \t it's a grocery store.,CHILD: \t what's this?,CHILD: \t see?,n/a,indefinite
you gonna make me a cup of coffee?,katie_mothertoy.cha,1512,the,a,indefinite,a,interrogative,object,n/a,10.38,no,katie,mother,MOTHER: \t don't touch it?,"MOTHER: \t oh, okay.",CHILD: \t here we are.,CHILD: \t I'm gonna get cold.,CHILD: \t [noise] too hot.,"MOTHER: \t it's too hot oh okay, thank you.",CHILD: \t it's too hot.,MOTHER: \t thank you for telling me.,CHILD: \t what?,MOTHER: \t thanks for telling me it was too hot.,MOTHER: \t you gonna make me a cup of coffee?,CHILD: \t yeah.,CHILD: \t where's the juice ?,n/a,indefinite
it's called a sparkler.,katie_mothertoy.cha,2409,the,a,indefinite,a,declarative,object,n/a,10.39,yes,katie,mother,MOTHER: \t can you say hi to Lise?,CHILD: \t watch my piano.,"INVESTIGATOR: \t you like that, huh?",INVESTIGATOR: \t is that a good toy?,CHILD: \t yep.,"INVESTIGATOR: \t Katie, we brought you a little present just for today.",CHILD: \t oh.,MOTHER: \t [gasp],CHILD: \t what's that?,INVESTIGATOR: \t I'll show you how it works.,INVESTIGATOR: \t it's called a sparkler.,MOTHER: \t ah!,INVESTIGATOR: \t wanna try it?,n/a,indefinite
I'm glad you used the black one.,laurel_fathertoy.cha,1749,the,a,definite,the,declarative,object,black,10.4,no,laurel,father,CHILD: \t you go over here.,FATHER: \t [noise],FATHER: \t no.,FATHER: \t the other way with your hand.,FATHER: \t the other way with your hand.,FATHER: \t that's it.,FATHER: \t okay.,FATHER: \t now put the other wheel back on.,CHILD: \t this.,FATHER: \t yep.,FATHER: \t I'm glad you used the black one.,FATHER: \t wanna use the black one or the red one?,FATHER: \t is it on?,n/a,definite
and they are sneaking up on the kitty.,laurel_mothertoy.cha,1101,the,a,definite,the,declarative,prepositional,n/a,10.41,no,laurel,mother,MOTHER: \t and he dropped his whistle.,MOTHER: \t and the little boy is laughing... isn't he?,MOTHER: \t and what about this little girl?,MOTHER: \t is she angry?,MOTHER: \t the kitty got away.,MOTHER: \t well.,MOTHER: \t now they're sneaking up.,MOTHER: \t see?,MOTHER: \t they're on their tiptoes.,MOTHER: \t they are being very quiet.,MOTHER: \t and they are sneaking up on the kitty.,MOTHER: \t kitty...,MOTHER: \t look at the kitty.,n/a,definite
it's on the policeman's head.,laurel_mothertoy.cha,1305,the,a,definite,the,declarative,prepositional,policeman's,10.42,yes,laurel,mother,CHILD: \t did they get all wet?,MOTHER: \t what do you think?,MOTHER: \t yeah.,MOTHER: \t they sure did.,MOTHER: \t real wet.,CHILD: \t did they get hurt?,CHILD: \t did she get her hair wet?,MOTHER: \t yeah.,MOTHER: \t doesn't it look like it?,MOTHER: \t and even her hat fell off.,MOTHER: \t it's on the policeman's head.,MOTHER: \t see?,MOTHER: \t don't they look funny in the puddle?,n/a,definite
she's not dressed like a Mommy anymore.,laurel_mothertoy.cha,1616,the,a,indefinite,a,declarative,object,n/a,10.43,no,laurel,mother,MOTHER: \t oh.,MOTHER: \t you know what she brought for em?,CHILD: \t [noise],MOTHER: \t what does she have for them?,CHILD: \t [noise],MOTHER: \t yeah.,MOTHER: \t  what is she eating?,MOTHER: \t cookies and juice?,CHILD: \t yeah.,MOTHER: \t and what is she dressed like?,MOTHER: \t she's not dressed like a Mommy anymore.,MOTHER: \t what's she dressed like?,MOTHER: \t is she dressed like a nurse?,n/a,indefinite
this is a little store.,laurel_mothertoy.cha,1707,the,a,indefinite,a,declarative,object,little,10.44,yes,laurel,mother,MOTHER: \t would you like to play with that?,CHILD: \t yeah.,CHILD: \t can I play with this?,MOTHER: \t yes.,MOTHER: \t what is that?,MOTHER: \t oop.,CHILD: \t what?,"MOTHER: \t what's in there, Laurie?",CHILD: \t I don't know.,MOTHER: \t look it.,MOTHER: \t this is a little store.,MOTHER: \t you know when I go to the store?,MOTHER: \t I buy food.,n/a,indefinite
here's a bag.,laurel_mothertoy.cha,1906,the,a,indefinite,a,declarative,object,n/a,10.45,yes,laurel,mother,MOTHER: \t and will you put it all in a bag for me so I can take it home?,CHILD: \t yeah.,MOTHER: \t okay.,"MOTHER: \t here is the money, okay?",MOTHER: \t you wanna put it in the cash register?,MOTHER: \t try...,MOTHER: \t why don't you push the...,MOTHER: \t okay.,MOTHER: \t can you ring up all my things for me?,MOTHER: \t so I can take them home?,MOTHER: \t here's a bag.,MOTHER: \t just like the lady does at the grocery store.,MOTHER: \t oh.,n/a,indefinite
and there's a towel right behind you.,martin_dinner.cha,2631,the,a,indefinite,a,declarative,object,n/a,10.46,yes,martin,dinner,FATHER: \t you don't care if it's under the deck.,CHILD: \t Ma?,"MOTHER: \t no, I don't care if it's under the deck.",FATHER: \t ahchoo!,"CHILD: \t Ma, more toast.",CHILD: \t I want uh more toast.,MOTHER: \t what?,FATHER: \t where's my napkin?,FATHER: \t my napkin just got co-opted here.,"MOTHER: \t well, there's the kleenex right behind you.",MOTHER: \t and there's a towel right behind you.,MOTHER: \t and there's napkins underneath the table.,FATHER: \t oh.,n/a,indefinite
"Jimmy, shall I pour the coffee?",martin_dinner.cha,4067,the,a,definite,the,interrogative,object,n/a,10.47,no,martin,dinner,MOTHER: \t who wrote it?,MOTHER: \t who wrote that song?,CHILD: \t I did.,MOTHER: \t you did?,MOTHER: \t what does it mean?,CHILD: \t no thing…,MOTHER: \t it means nothing.,MOTHER: \t ya know when you sing like that we can't understand you.,MOTHER: \t are you being silly?,CHILD: \t yeah yeah yo yo ya.,"MOTHER: \t Jimmy, shall I pour the coffee?",FATHER: \t yeah.,CHILD: \t ah uh ah yo you yo ah. [noise],n/a,definite
is that a kitty carriage?,martin_fathertoy.cha,807,the,a,indefinite,a,interrogative,object,n/a,10.48,yes,martin,father,FATHER: \t isn't that silly?,CHILD: \t the baby... the baby go in there.,FATHER: \t baby go in there.,FATHER: \t right.,FATHER: \t does a boy like that go in a baby carriage?,CHILD: \t no.,FATHER: \t no: that's silly.,CHILD: \t [noise],"FATHER: \t oop, and the kitty...","FATHER: \t and look, the kitty is in the carriage too.",FATHER: \t is that a kitty carriage?,CHILD: \t yeah.,FATHER: \t it is? [laugh],n/a,indefinite
"yeah, it's a doggie.",martin_mothertoy.cha,666,the,a,indefinite,a,declarative,object,n/a,10.49,yes,martin,mother,MOTHER: \t we don't touch other people's radios.,CHILD: \t [noise],MOTHER: \t hmm.,CHILD: \t somebody else.,MOTHER: \t that belongs to somebody who works here.,"CHILD: \t that picture, what's that picture of?",MOTHER: \t what do you think it's a picture of?,CHILD: \t why?,MOTHER: \t is it a cat?,CHILD: \t a doggie.,"MOTHER: \t yeah, it's a doggie.",MOTHER: \t it's a nice doggie.,MOTHER: \t wanna try on the wheels?,n/a,indefinite
what's the kitty doing?,martin_mothertoy.cha,1071,the,a,definite,the,interrogative,subject,n/a,10.5,yes,martin,mother,"MOTHER: \t okay, well, I'll just read the book, okay?",CHILD: \t I wanna... I wanna...,MOTHER: \t okay? can you read me... tell me what this is about?,MOTHER: \t what's that lady doing?,CHILD: \t why?,MOTHER: \t why?,MOTHER: \t do you know what this is called?,CHILD: \t what?,MOTHER: \t is a baby an taking the kitty for a ride in the baby carriage? [gasp],MOTHER: \t but what's what's happening?,MOTHER: \t what's the kitty doing?,CHILD: \t why?,MOTHER: \t look!,n/a,definite
