matched_term,file_name,match_line_number,know_option,think_option,verb,force,comp,subj,unique_id,child,interaction,context_pre_1,context_pre_2,context_pre_3,context_pre_4,context_pre_5,context_pre_6,context_pre_7,context_pre_8,context_pre_9,context_pre_10,matched_line,context_post_1,context_post_2,Sample_Set
I know I hate those things too artificial corn holders .,victor_dinner.cha,1846,know,think,know,declarative,declarative,1,1.02,victor,dinner,*MOT:	[laughs they'd like you to][laughs schedule it more than].,*MOT:	.. except it's on my calendar.,*MOT:	she understanded  .,*FAT: [grunts].,*MOT:	[laughs].,*FAT:	&mm: xxx.,*FAT: [grunts].,*MOT:	she said they call you the night .,*MOT:	they call you one night .. during the week before you come and,*CHI:	those things out.,*MOT:	I know I hate those things too artificial corn holders.,*FAT:	well .,*FAT: [grunts].,4111
I know you don't .,helen_dinner.cha,526,know,think,know,declarative,declarative,1,1.006,helen,dinner,*MOT:	when is the corn gonna be ready?,*CHI:	yeah.,"*MOT:	oh, in about ten minutes.","*CHI:	Mommy, I want some more soup.",*MOT:	you do?,"*MOT:	alright here, I'll give you some of mine, okay?","*SIS:	Ma, I don't want any more .","*FAT:	you can have some more carrots,   too.",*MOT:	oh.,*SIS:	I don't want any more.,*MOT:	I know you don't.,*MOT:	it's alright 6..,"*CHI:	thank_you, Daddy.",4111
"I know it's your birthday and you got presents , but you still have_to eat your dinner .",charlie_dinner.cha,1525,know,think,know,declarative,declarative,1,1.015,charlie,dinner,*CHI:	xxx living room.,"*FAT:	you didn't lose it, you just left it in the living room.",*CHI:	why?,*FAT:	I don't know why.,*FAT:	why?,*CHI:	no.,"*FAT:	well, it's hard to eat with a baseball mitt on.",*FAT:	that's why.,"*CHI:	but Dad, I wanna see it.","*CHI:	Dad, it's my birthday and I get presents.","*FAT:	I know it's your birthday and you got presents, but you still have_to eat your dinner.",*CHI:	I don't want any: xxx.,*FAT:	sure you do.,4111
I know you have Rice Krispies here in the store someplace .,david_mothertoy.cha,315,know,think,know,declarative,declarative,1,1.005,david,mother,*MOT:	you're trying to make me buy everything.,*CHI:	no.,*CHI:	no.,*CHI:	because that's what you have_to have.,*MOT:	okay.,*MOT:	Mr Storeman.,"*MOT:	there's one thing that I really, really, really want.",*MOT:	and I would really appreciate it if you would get it for me.,*CHI:	what is that?,*MOT:	and that's some Rice Krispies.,*MOT:	I know you have Rice Krispies here in the store someplace.,*MOT:	can you find me some?,*CHI:	I don't have any.,4111
"I know what goes back here , Lisa .",wanda_mothertoy.cha,1000,know,think,know,declarative,interrogative,1,3.016,wanda,mother,*CHI:	Lisa.,"*MOT:	Debbie and Lisa, the two mechanics?",*CHI:	yeah.,"*MOT:	okay, Debbie   Debbie what do think we.",*CHI:	Debra .,*MOT:	should do?,*CHI:	&uh.,*MOT:	to fix this car?,*CHI:	I don't know.,"*MOT:	&um, let's see if I can remember what goes back here.","*MOT:	I know what goes back here, Lisa.",*MOT:	Debbie.,*MOT:	who are you?,4111
"oh , I know what that is .",patricia_fathertoy.cha,1767,know,think,know,declarative,interrogative,1,3.011,patricia,father,*CHI:	that's a boy.,"*FAT:	alright, let's see xxx your stereotypes.",*FAT:	is this a boy or a girl.,*CHI:	a boy.,*FAT:	that's a boy too.,"*FAT:	oh, there's hope for you.","*FAT:	alright, now .",*FAT:	oh we took something off.,*FAT:	what's this?,*CHI:	what's this?,"*FAT:	oh, I know what that is.",*CHI:	what?,*FAT:	it's called a jack.,4111
I know what happens .,guy_mothertoy.cha,2323,know,think,know,declarative,interrogative,1,3.0154,guy,mother,*MOT:	 you didn't lose your kitty.,*CHI:	sit.,*MOT:	sit kitty?,*CHI:	uhhuh.,*MOT:	&mm.,*MOT:	why?,*MOT:	is the kitty running too fast or something?,*CHI:	uhhuh.,*MOT:	&mm.,*MOT:	oh.,*MOT:	I know what happens.,*MOT:	the policeman says to the cat .,*MOT:	 come here cat.,4111
I know what it is .,guy_fathertoy.cha,2076,know,think,know,declarative,interrogative,1,3.013,guy,father,*FAT:	what have we done wrong?,"*FAT:	&hmm xxx perhaps try that now, Guy.",*CHI:	what?,*CHI:	what?,"*FAT:	try it  try it now, sweetheart.",*FAT:	I don't think that makes a difference.,*FAT:	do you know something?,*CHI:	what?,*FAT:	I think . we're doing something wrong.,*FAT:	&ah !,*FAT:	I know what it is.,*FAT:	I know.,*FAT:	let's take it off.,4111
I know where they go .,frank_fathertoy.cha,659,know,think,know,declarative,interrogative,1,3.004,frank,father,*CHI:	this go in here?,*FAT:	I don't think so.,*FAT:	xxx something else goes in there first.,*FAT:	wait a minute.,*CHI:	what?,*FAT:	doesn't something go in there?,*FAT:	what about these.,*FAT:	where do they go?,*FAT:	&uh oh.,*FAT:	oh.,*FAT:	I know where they go.,*FAT:	you know where they go?,*FAT:	where?,4111
I know what it is .,martin_dinner.cha,2690,know,think,know,declarative,interrogative,1,3.012,martin,dinner,*CHI:	0.,*MOT:	whyn't  you eat those potatoes?,*MOT:	you did a very nice job.,*MOT:	you ate all your scallops and your salad.,*MOT:	whyn't  you eat some potato?,*FAT:	what's the red stuff on the floor here ?,*CHI:	Daddy ate the scallops .,*MOT:	yeah [laughs but Daddy didn't eat too many of em].,"*FAT:	oh, God !",*FAT:	there's chopped up +/.,*MOT:	I know what it is.,*FAT:	chopped up crayon.,*CHI:	I eat too many of em .,4111
&uh o:h now I know why they call it a Take_apart car [=! laughs] !,wanda_mothertoy.cha,481,know,think,know,declarative,interrogative,1,3.002,wanda,mother,*MOT:	you want to make it looser if you want to take it apart.,*CHI:	oh [coughs].,*CHI:	I wonder if the door's locked.,"*MOT:	oh, no.",*MOT:	it's not locked.,*MOT:	it's just closed so_that people walking up and down the hall won't,*CHI:	oh.,*MOT:	that's one more.,"*MOT:	okay ., who's going to take the tire off, me or you?",*MOT:	you.,*MOT:	&uh oh now I know why they call it a Take_apart car [laughs]!,*MOT:	that's one whole side of the car taken apart.,"*MOT:	here, we've got one more side of the car to take apart.",4111
we know where the people go .,andy_fathertoy.cha,1418,know,think,know,declarative,interrogative,1,3.017,andy,father,*FAT:	where do the red and the black screw go? ,*CHI:	and where does dis  go? ,*CHI:	and these two blue screws? ,*FAT:	I dunno . ,*FAT:	and what was holding the wheel? ,*FAT:	we didn't remember. ,*FAT:	we should have .. maybe even written some things down. ,"*FAT:	like what belongs where, &hmm? ",*CHI:	but we knew where dese  people go . ,*FAT:	yup  that we know. ,*FAT:	we know where the people go. ,*CHI:	I know where dese:  go. ,*FAT:	I wonder what holds in the spare tire? ,4111
I know what we could do .,david_dinner.cha,1401,know,think,know,declarative,interrogative,1,3.008,david,dinner,*FAT:	I'm afraid we are  I think with your cream cheese and . &uh,"*FAT:	what're we gonna do when we wanna have a garlic bagel, David, or",*CHI:	we can &um.,*CHI:	you know what you can do?,*MOT:	what?,*SIS:	cream cheese and bagel on a . on a . &c  on a pretzel.,*MOT:	on a pretzel.,"*MOT:	oh, dear.","*MOT:	it's just not the same, though.",*CHI:	is that xxx.,*MOT:	I know what we could do., ,*CHI:	yeah !,4111
"oh I know what you're gonna buy , too .",eddie_mothertoy.cha,1803,know,think,know,declarative,interrogative,1,3.007,eddie,mother,*CHI:	I don't want to.,*MOT:	okay do you wanna buy something from me?,*CHI:	no.,*MOT:	huh?,*CHI:	what?,*MOT:	would you like to buy something from me?,"*MOT:	I'll be a store lady, okay?",*CHI:	nah.,*MOT:	and  you come over and buy something.,*CHI:	no I wanna be .,"*MOT:	oh I know what you're gonna buy, too.",*CHI:	no I wanna be .,*MOT:	you wanna be the storeman?,4111
"you know where to [//] where things go , right ?",andy_mothertoy.cha,1045,know,think,know,declarative,interrogative,2,3.001,andy,mother,*MOT:	okay. ,*CHI:	xxx back. ,*CHI:	I'll watch you. ,*MOT:	you'll watch me? ,*MOT:	you're not gonna help me? ,*MOT:	I'm not sure I could do it either. ,*CHI:	someone help us. ,"*MOT:	[laughs the blue screws go in front, right]? ",*MOT:	&th these are the headlights. ,*MOT:	you come help me. ,"*MOT:	you know where to  where things go, right? ",*MOT:	the people? ,*CHI:	the people belong inside it. ,4111
I know why I'm <standing up> [>] .,patricia_dinner.cha,2007,know,think,know,declarative,interrogative,1,3.003,patricia,dinner,*FAT:	I know.,"*FAT:	I showed her that, but xxx.",*FAT:	look at it after dinner if you want.,*FAT:	eat your pickle.,*FAT:	I gave you a pickle to eat.,*FAT:	Usher likes pickles.,*CHI:	mumnum  mummum  .,*MOT:	what.,*MOT:	is the  is the xxx gone?,*FAT:	alright.,*FAT:	I know why I'm standing up .,*FAT:	I wanna call Michael.,*MOT:	the french frys are all_gone.,4111
I know where that is .,eddie_dinner.cha,510,know,think,know,declarative,interrogative,1,3.006,eddie,dinner,*FAT:	now tell me what you did.,"*CHI:	well, you know where I went with Philip and baby Mark?","*FAT:	nope, where'd you go?",*CHI:	to the playground with Philip and baby Mark and Joel and Rachel,*FAT:	which playground was this ?,*FAT:	what playground was this?,*MOT:	Clarendon Street.,*CHI:	Clarendon Street.,*FAT:	oh yeah.,*FAT:	mhm.,*FAT:	I know where that is.,*MOT:	and who did we see when we was at the playground?,*CHI:	Yoye.,4111
oh I know what we can do for lunch .,charlie_fathertoy.cha,676,know,think,know,declarative,interrogative,1,3.009,charlie,father,*FAT:	chocolate. ,*CHI:	Oreos. ,*FAT:	Oreos. ,*FAT:	oh I see something that I would love to have for lunch. ,*FAT:	not that. ,*FAT:	lasagne. ,*CHI:	&mm lasagne . ,*FAT:	you know what  lasagne is? ,*CHI:	yeah. ,*CHI:	hey where that box is? ,*FAT:	oh I know what we can do for lunch. ,*CHI:	what? ,*FAT:	let's . ,4111
"course he knows where she is , he's peeking at her from behind the tree .",ursula_mothertoy.cha,1699,knows,thinks,know,declarative,interrogative,3,3.018,ursula,mother,*CHI:	me.,*MOT:	[laughs she's giving her kitty cat a li]ttle ride in the carriage,*CHI:	yeah.,*MOT:	oh oh [gasp]!,*MOT:	look what happened.,"*MOT:	she's bending over to pick a very pretty flower, and . the cat",*MOT:	cats don't usually like to ride too well so . he's trying to run,*MOT:	she turns around and she goes .,*MOT:	 oh no:.,*MOT:	she sees the blanket on the ground and the cat's gone.,"*MOT:	course he knows where she is, he's peeking at her from behind the tree.",*MOT:	she runs off to get a policeman because she cann't find her cat.,*MOT:	she's really kind of worried.,4111
did you know cars come apart like this ?,laurel_mothertoy.cha,336,know,think,know,interrogative,declarative,2,4.02,laurel,mother,*MOT:	I haved to put your light switch back on.,*CHI:	xxx.,*MOT:	did you have a flat tire?,*MOT:	you're gonna put a new tire on?,*CHI:	mhm.,*MOT:	does this tire need to be taken off too?,*MOT:	do you know how to do that?,*CHI:	xxx.,*MOT:	do you like this car?,*CHI:	yeah.,*MOT:	did you know cars come apart like this?,*CHI:	xxx.,*CHI:	this xxx.,4111
do you know when we parked the car just now I haved to put a quarter in the parking+meter ?,nanette_mothertoy.cha,814,know,think,know,interrogative,declarative,2,4.003,nanette,mother,*MOT:	what's that?,*CHI:	a quarter.,*MOT:	a quarter.,*MOT:	right.,*MOT:	do you remember what this one is?,"*MOT:	wait, this is a quarter you press this for a quarter it's a two",*MOT:	do you know what this one is?,*CHI:	a penny.,"*MOT:	&mm, here's a penny.",*MOT:	there's lots_of money here and we can buy lots_of food with the,*MOT:	do you know when we parked the car just now I haved to put a quarter in the parkingmeter?,*MOT:	cause it costs money to park your car on the street.,*CHI:	that's a bunny rabbit.,4111
you [/] you know you slept until daddy hadda [: had to] wake you up ?,laurel_dinner.cha,2180,know,think,know,interrogative,declarative,2,4.004,laurel,dinner,*FAT:	hang on.,"*FAT:	the other thing, tootsie .",*MOT:	yeah.,*CHI:	wanna get down now.,*CHI:	wanna get down.,"*MOT:	you know, you're gonna wake up at about ten o'clock and tell me",*FAT:	what time did you sleep till this morning?,*MOT:	she slept a long time.,*FAT:	she slept until I woke her up to &ge  to go to work .,"*MOT:	yeah, she slept a long time .",*FAT:	you  you know you slept until daddy hadda  wake you up?,*FAT:	do you know daddy woke you up this morning ?,*MOT:	you was a very good girl this morning .,4111
you know that Betty's going to bring that dog to Israel ?,david_dinner.cha,561,know,think,know,interrogative,declarative,2,4.008,david,dinner,*MOT:	and .. a big cat.,*CHI:	a what +/.,*MOT:	and they were fighting with each_other.,"*CHI:	&uh, how did Betty stopped it?",*MOT:	she said .,*MOT:	 stop it you guys !,*CHI:	and did they do it?,"*MOT:	yeah, they did.",*CHI:	what?,"*MOT:	yeah, they stopped.",*MOT:	you know that Betty's going to bring that dog to Israel?,*MOT:	I don't believe it.,*FAT:	hm.,4111
o:h did she know that was the cat in there ?,theresa_mothertoy.cha,196,know,think,know,interrogative,declarative,3,4.001,theresa,mother,*CHI:	yeah .,*MOT:	okay .,*MOT:	turn the page now?,*CHI:	yes.,*MOT:	okay.,*CHI:	and  and then  and then the &um +/.,*MOT:	xxx the picture first .,*CHI:	and then  the cat fell out when when she was &um picking the,*CHI:	and then  and then  then she no baby.,*CHI:	an the  an the  an the  an the  an the cloth fell out.,*MOT:	oh did she know that was the cat in there?,*MOT:	or xxx was the baby that she thought?,*CHI:	she thought that a cat was there.,4111
do you <know daddy woke you up this morning> [>] ?,laurel_dinner.cha,2187,know,think,know,interrogative,declarative,2,4.015,laurel,dinner,"*FAT:	the other thing, tootsie .",*MOT:	yeah.,*CHI:	wanna get down now.,*CHI:	wanna get down.,"*MOT:	you know, you're gonna wake up at about ten o'clock and tell me",*FAT:	what time did you sleep till this morning?,*MOT:	she slept a long time.,*FAT:	she slept until I woke her up to &ge  to go to work .,"*MOT:	yeah, she slept a long time .",*FAT:	you  you know you slept until daddy hadda  wake you up,*FAT:	do you know daddy woke you up this morning ?,*MOT:	you was a very good girl this morning .,*CHI:	you woke me up when I got up.,4111
you know that [//] in about a month we're going to Florida ?,theresa_dinner.cha,1045,know,think,know,interrogative,declarative,2,4.007,theresa,dinner,*MOT:	xxx .,*FAT:	who?,*CHI:	I don't see any noisemakers &ha !,*MOT:	haha .,*CHI:	and then we saw some tom  tomato juice on somebod  on,*MOT:	xxx  ya know what I think?,*FAT:	&hmm.,*CHI:	what?,*MOT: [laughing I think you're making up a big story].,*CHI:	I'm not !,*FAT:	you know that  in about a month we're going to Florida?,*CHI:	Daddy: !,*CHI:	are you there?,4111
did you know there was a store in here ?,ursula_fathertoy.cha,2011,know,think,know,interrogative,declarative,2,4.019,ursula,father,*FAT:	you're not . .,*CHI:	you hafta do it at the bottom and then it comes out like this.,*FAT:	oh?,*CHI:	yeah.,*CHI:	can you fix the car like this?,*FAT:	I'll tell you what.,*FAT:	why don't we .,*FAT:	Dad'll put the car back.,*FAT:	why don't you go take a look over here and see what they have at,*CHI:	what store?,*FAT:	did you know there was a store in here?,*CHI:	yeah.,*CHI:	xxx.,4111
did you know there was water on the other side ?,laurel_fathertoy.cha,628,know,think,know,interrogative,declarative,2,4.018,laurel,father,*FAT:	are they gonna get wet?,*CHI:	yeah.,*FAT:	do you think they'd better put their &sw .,*FAT:	look [gasp].,*FAT:	you're right.,*FAT:	look.,*FAT:	it's a hole that's gonna go into the water.,*FAT:	did you read this book before?,*FAT:	have you seen this book before?,*CHI:	no.,*FAT:	did you know there was water on the other side?,*FAT:	look.,*CHI:	hey .,4111
"you can see [/] you can see Michael's daddy play , you know Michael's daddy plays baseball (.) for the Red Sox ?",frank_dinner.cha,741,know,think,know,interrogative,declarative,2,4.009,frank,dinner,*MOT:	some rental agent just tried to make it sound better than it was.,*FAT:	they probably came in without a lease too.,*FAT:	they just there for such a short period.,*MOT:	oh they think  they're giving six week  six month leases.,*FAT:	oh.,"*MOT:	Frank, you stop that +/.",*FAT:	don't kick please.,*FAT:	you know what I got . for next month?,*CHI:	what?,*FAT:	two tickets for the Red Sox game.,"*MOT:	you can see  you can see Michael's daddy play, you know Michael's daddy plays baseball . for the Red Sox?",*MOT:	&um . something else.,*MOT:	what else?,4111
do you know that they go to school and they even have work to do in school ?,john_dinner.cha,220,know,think,know,interrogative,declarative,2,4.013,john,dinner,*FAT:	xxx.,*MOT:	anybody that's hungry.,*MOT:	come over here.,*FAT:	we're having supper.,*CHI:	xxx.,*FAT:	we're having supper right now.,*MOT:	as a matter of fact we're going to close the door here.,"*MOT:	no, no one is playing here.","*MOT:	no, I want to explain something to you.",*MOT:	Janet and Sandy are not playing now.,*MOT:	do you know that they go to school and they even have work to do in school?,*FAT:	and do you know something else?,*MOT:	can you get out some glass and stuff so we can   .,4111
do you know they don't have bagels in Israel ?,david_dinner.cha,1271,know,think,know,interrogative,declarative,2,4.01,david,dinner,*CHI:	I don't like these . anyway.,*FAT:	 would you eat them in a box?,*FAT:	 would you eat them with a .,*CHI:	xxx.,*FAT:	 not in a box.,*CHI:	not in a box.,*FAT:	 not with a fox .,*FAT:	 not in a house .,*CHI:	not in a box.,*MOT:	how bout with some lox?,*MOT:	do you know they don't have bagels in Israel?,*FAT:	no +/.,*MOT:	couldn't believe it.,4111
do you know that you can unscrew this right here ?,martin_mothertoy.cha,284,know,think,know,interrogative,declarative,2,4.011,martin,mother,*CHI:	xxx car xxx what's this?,*CHI:	xxx.,*MOT:	you wanna play with this car?,*MOT:	you want me to show you how it works?,*MOT:	do you know what  do you know what this is?,*MOT:	that's a screwdriver.,*CHI:	uhhuh I wanna use it.,*CHI:	xxx.,*MOT:	do you what takes a .,*MOT:	do you know that this car comes apart?,*MOT:	do you know that you can unscrew this right here?,*CHI:	yeah.,*MOT:	that's right yeah look at that.,4111
you know this surcharge thing that everybody got back ?,frank_dinner.cha,1040,know,think,know,interrogative,declarative,2,4.016,frank,dinner,*CHI:	I want it.,*MOT:	yeah.,*MOT:	I'll cut it.,*MOT:	I'll cut it.,*CHI:	xxx can have it.,*MOT:	ow.,*MOT:	ow.,*MOT:	ow ow ow.,*CHI:	where's the potatos ?,*MOT:	something about  .,*MOT:	you know this surcharge thing that everybody got back?,"*MOT:	well, he counted that as  as how much  as part of our",*FAT:	yeah.,4111
did his mother know he was here ?,frank_dinner.cha,341,know,think,know,interrogative,declarative,3,4.002,frank,dinner,*FAT:	you know why  you didn't go to the pool?,*CHI:	why?,*FAT:	it was raining.,*CHI:	oh.,*CHI:	I already picked my salad.,*MOT:	oh.,*MOT:	you did pick your salad?,*MOT:	that's healthy.,*MOT:	now tell Daddy about how you played with Michael today.,*MOT:	on the way home from school we met him playing alone and so he came,*FAT:	did his mother know he was here?,*MOT:	well he called her.,*FAT:	he knows his phone number?,4111
do you know what that means ?,nanette_mothertoy.cha,1521,know,think,know,interrogative,interrogative,2,6.251,nanette,mother,*MOT:	what did he do?,*MOT:	he ran to the what?,*CHI:	mirror.,*MOT:	to the mirror.,"*MOT:	&hmm, that looks like a mirror.",*MOT:	you're right.,*MOT:	looks like a big round mirror.,"*MOT:	okay, so Puddy ran to the mirror.","*MOT:	and oh, look what they're doing.",*MOT:	they're doing this with their fingers.,*MOT:	do you know what that means?,*MOT:	when Mommy does that to you what does it mean?,*CHI: [giggles].,4111
you know what Janet told me ?,wanda_mothertoy.cha,2146,know,think,know,interrogative,interrogative,2,6.012,wanda,mother,*MOT:	let's just get all that money out.,*MOT:	you wanna  get that book off the shelf?,*MOT:	you see the other . white box where it comes in?,*CHI:	yeah.,"*MOT:	okay, why don't ya get that book and bring here?",*MOT:	okay?,*CHI: [coughs].,*MOT:	did ya get the book down?,*MOT:	alright .. why don't you open it up and see if it's a good story,*MOT:	huh?,*MOT:	you know what Janet told me?,"*MOT:	here, sit around here.",*MOT:	you know what Janet said?,4111
do you know where people use cash registers ?,guy_fathertoy.cha,124,know,think,know,interrogative,interrogative,2,6.201,guy,father,*CHI:	fifty five.,*FAT:	fifty.,*FAT:	if you wanna make fifty five .,"*FAT:	watch, Guy.","*FAT:	if you wanna make fifty five, you press fifty and .",*FAT:	well you can't do it the same .,*FAT:	oh yes you can.,*FAT:	fifty five.,*FAT:	like this.,*CHI:	xxx that.,*FAT:	do you know where people use cash registers?,*FAT:	Guy?,*FAT:	Guy?,4111
do you know how much it costs ?,victor_fathertoy.cha,1679,know,think,know,interrogative,interrogative,2,6.301,victor,father,*FAT:	yeah.,"*FAT:	okay, and  and, &uh .. do you have any other cereal, do you","*CHI:	no, I don't.","*FAT:	you don't oh, &uh, you know what else I'd like to buy?",*FAT:	I'd like .,*CHI:	want more money.,"*FAT:	oh, no [laughs].",*FAT:	you're right.,*FAT:	I would like to have more money.,*FAT:	I would like to buy this soup.,*FAT:	do you know how much it costs?,*CHI:	it costs . three forty.,*FAT:	three forty [laughs].,4111
okay do you know how much this is ?,eddie_fathertoy.cha,2825,know,think,know,interrogative,interrogative,2,6.298,eddie,father,*FAT:	now another ten.,*FAT:	okay that's thirty five.,*FAT:	alright .,*CHI:	okay .,*FAT:	now &uh what else?,"*FAT:	how about some &uh . xxx, coffee?",*FAT:	do you have some coffee?,*CHI:	sure.,*FAT:	alright.,*FAT:	thank_you very much.,*FAT:	okay do you know how much this is?,*FAT:	this must be at least a dollar &hmm?,*CHI:	yep.,4111
you know how [/] you know how you play with a stethoscope at school ?,charlie_dinner.cha,2698,know,think,know,interrogative,interrogative,2,6.035,charlie,dinner,*FAT:	everybody's going to go  to school .,*FAT:	all those people are going to go to school with you tomorrow.,*MOT:	and you know what else Charlie?,*CHI:	&wh  who?,*CHI:	what?,*MOT:	I'm gonna pick you up at noon.,*MOT:	and we're gonna go see Dr Bumble.,*CHI:	why:?,*MOT:	because it's your annual checkup.,*CHI:	what kind of checkup?,*MOT:	you know how  you know how you play with a stethoscope at school?,*CHI:	yeah.,*MOT:	and you . listen for your heartbeat?,4111
